Austria		europe	$80,743	0.72%	$69,965	0.61%	$69,954	0.63%	$70,874	0.62%	$66,857	0.56%	$68,470	0.56%	$97,157	0.67%	$121,499	0.73%	$133,274	0.72%	$132,936	0.68%	$166,477	0.76%	$173,992	0.75%	$195,031	0.78%	$190,023	0.74%	$203,494	0.74%	$240,695	0.78%	$236,812	0.75%	$212,578	0.68%	$217,980	0.70%	$217,010	0.67%	$196,998	0.59%	$197,123	0.60%	$213,725	0.62%	$261,220	0.68%	$300,264	0.69%	$315,187	0.67%	$334,603	0.66%	$386,995	0.67%	$429,638	0.68%	$398,602	0.67%	$390,383	0.60%	$429,493	0.59%	$407,801	0.55%	$428,456	0.57%	$437,123	0.56%	$380,555	0.51%
Spain		europe	$230,189	2.07%	$204,082	1.79%	$197,154	1.77%	$172,429	1.51%	$171,955	1.45%	$181,172	1.47%	$250,683	1.74%	$317,602	1.92%	$373,143	2.00%	$411,571	2.10%	$533,917	2.45%	$575,021	2.49%	$628,565	2.51%	$528,011	2.06%	$529,824	1.92%	$612,429	2.00%	$638,444	2.03%	$587,920	1.87%	$616,886	1.98%	$634,384	1.97%	$597,149	1.80%	$626,514	1.90%	$707,642	2.06%	$908,588	2.36%	$1,071,007	2.47%	$1,159,257	2.47%	$1,265,661	2.48%	$1,481,393	2.58%	$1,642,738	2.61%	$1,502,876	2.52%	$1,434,257	2.20%	$1,495,968	2.07%	$1,356,483	1.84%	$1,393,476	1.84%	$1,406,855	1.82%	$1,230,207	1.65%
Argentina		sAmerica	$249,941	2.24%	$202,996	1.78%	$100,801	0.90%	$124,349	1.09%	$139,618	1.18%	$105,453	0.86%	$126,807	0.88%	$130,012	0.78%	$152,284	0.82%	$97,703	0.50%	$169,009	0.78%	$226,715	0.98%	$273,568	1.09%	$282,810	1.10%	$307,844	1.12%	$308,551	1.01%	$325,434	1.03%	$350,197	1.12%	$357,479	1.15%	$339,034	1.05%	$339,848	1.02%	$321,305	0.97%	$116,867	0.34%	$152,634	0.40%	$181,894	0.42%	$220,907	0.47%	$262,814	0.52%	$329,275	0.57%	$403,744	0.64%	$376,826	0.63%	$461,652	0.71%	$558,681	0.77%	$607,596	0.83%	$622,054	0.82%	$540,164	0.70%	$563,138	0.75%
Brazil		sAmerica	$152,154	1.37%	$174,864	1.54%	$186,950	1.68%	$149,893	1.31%	$149,168	1.26%	$236,798	1.93%	$274,694	1.90%	$298,989	1.80%	$334,013	1.79%	$458,527	2.34%	$475,119	2.18%	$416,596	1.81%	$399,082	1.60%	$447,832	1.74%	$558,374	2.03%	$786,479	2.56%	$853,879	2.71%	$886,666	2.83%	$867,149	2.78%	$601,955	1.87%	$657,249	1.98%	$560,221	1.70%	$510,618	1.49%	$558,921	1.45%	$669,616	1.54%	$892,106	1.90%	$1,107,789	2.17%	$1,395,968	2.43%	$1,694,616	2.69%	$1,666,768	2.79%	$2,209,266	3.39%	$2,613,061	3.62%	$2,412,024	3.28%	$2,391,029	3.17%	$2,353,025	3.04%	$1,903,934	2.55%
Colombia		sAmerica	$46,382	0.42%	$50,532	0.44%	$54,112	0.49%	$53,783	0.47%	$53,121	0.45%	$48,459	0.39%	$48,525	0.34%	$50,511	0.30%	$54,455	0.29%	$54,909	0.28%	$55,929	0.26%	$57,270	0.25%	$68,435	0.27%	$77,493	0.30%	$97,416	0.35%	$110,298	0.36%	$119,443	0.38%	$112,180	0.36%	$108,617	0.35%	$96,443	0.30%	$99,876	0.30%	$98,212	0.30%	$97,963	0.29%	$94,641	0.25%	$117,082	0.27%	$146,566	0.31%	$162,590	0.32%	$207,416	0.36%	$243,982	0.39%	$233,822	0.39%	$287,018	0.44%	$336,346	0.47%	$369,789	0.50%	$378,415	0.50%	$384,901	0.50%	$332,384	0.45%
Australia		oceania	$162,810	1.46%	$188,278	1.65%	$186,918	1.68%	$179,352	1.57%	$196,998	1.66%	$174,263	1.42%	$181,350	1.26%	$212,951	1.28%	$270,915	1.46%	$307,792	1.57%	$323,489	1.49%	$324,138	1.41%	$317,805	1.27%	$309,008	1.20%	$352,781	1.28%	$379,432	1.24%	$425,083	1.35%	$426,424	1.36%	$380,603	1.22%	$411,166	1.28%	$399,017	1.20%	$376,634	1.14%	$424,072	1.24%	$540,311	1.40%	$656,808	1.51%	$732,781	1.56%	$781,739	1.53%	$948,997	1.65%	$1,052,869	1.67%	$996,461	1.67%	$1,248,219	1.91%	$1,500,355	2.08%	$1,555,915	2.12%	$1,501,883	1.99%	$1,444,189	1.87%	$1,252,273	1.68%
Nigeria		africa	$62,365	0.56%	$64,135	0.56%	$55,511	0.50%	$37,575	0.33%	$27,250	0.23%	$26,725	0.22%	$21,164	0.15%	$22,553	0.14%	$25,022	0.13%	$24,174	0.12%	$36,052	0.17%	$35,139	0.15%	$34,715	0.14%	$36,045	0.14%	$49,265	0.18%	$107,833	0.35%	$154,085	0.49%	$163,880	0.52%	$162,558	0.52%	$46,362	0.14%	$61,309	0.18%	$59,629	0.18%	$81,593	0.24%	$95,358	0.25%	$126,383	0.29%	$164,774	0.35%	$217,736	0.43%	$257,471	0.45%	$325,443	0.52%	$270,471	0.45%	$373,839	0.57%	$418,834	0.58%	$467,119	0.64%	$521,812	0.69%	$573,652	0.74%	$515,431	0.69%
Egypt		africa	$22,371	0.20%	$24,499	0.22%	$28,986	0.26%	$35,430	0.31%	$39,837	0.34%	$46,450	0.38%	$51,429	0.36%	$73,571	0.44%	$88,000	0.47%	$109,714	0.56%	$91,383	0.42%	$46,060	0.20%	$42,006	0.17%	$47,101	0.18%	$51,879	0.19%	$60,163	0.20%	$67,632	0.21%	$75,865	0.24%	$84,821	0.27%	$90,386	0.28%	$99,624	0.30%	$97,266	0.29%	$85,843	0.25%	$80,994	0.21%	$78,799	0.18%	$89,519	0.19%	$107,375	0.21%	$130,346	0.23%	$162,435	0.26%	$188,608	0.32%	$218,763	0.34%	$235,598	0.33%	$262,256	0.36%	$271,427	0.36%	$286,435	0.37%	$324,267	0.43%
South Africa		africa	$82,659	0.74%	$84,967	0.75%	$77,930	0.70%	$86,907	0.76%	$76,901	0.65%	$58,774	0.48%	$67,139	0.46%	$88,041	0.53%	$94,653	0.51%	$98,495	0.50%	$114,934	0.53%	$123,396	0.54%	$133,954	0.54%	$133,867	0.52%	$139,381	0.51%	$155,078	0.51%	$147,601	0.47%	$152,738	0.49%	$137,734	0.44%	$136,594	0.42%	$136,453	0.41%	$121,602	0.37%	$115,748	0.34%	$175,254	0.45%	$228,931	0.53%	$257,667	0.55%	$271,812	0.53%	$299,033	0.52%	$287,095	0.46%	$297,221	0.50%	$375,304	0.58%	$417,057	0.58%	$397,391	0.54%	$366,236	0.48%	$350,082	0.45%	$323,809	0.43%
Other		other	$1,157,234	10.38%	$1,152,636	10.13%	$1,166,970	10.46%	$1,106,821	9.68%	$1,087,661	9.18%	$1,075,457	8.75%	$1,212,969	8.40%	$1,366,021	8.24%	$1,463,725	7.86%	$1,489,753	7.62%	$1,615,871	7.42%	$1,649,584	7.15%	$1,849,825	7.40%	$1,889,020	7.35%	$2,037,636	7.40%	$2,432,775	7.93%	$2,603,593	8.26%	$2,659,328	8.47%	$2,656,236	8.53%	$2,670,199	8.29%	$2,723,127	8.21%	$2,758,320	8.37%	$2,912,095	8.49%	$3,373,083	8.75%	$3,999,009	9.21%	$4,532,589	9.64%	$5,155,945	10.12%	$6,160,037	10.72%	$7,238,526	11.49%	$6,561,496	10.99%	$7,121,269	10.92%	$8,029,155	11.11%	$8,246,339	11.21%	$8,629,263	11.42%	$8,779,085	11.35%	$8,304,348	11.13%
